Date,Time,TRSS,RX V(V),RQly,RSSI(dB),RNse(dB),RSNR(dB),BatV(V),Temp(@C),aAlt(m),Cell(V),Alt(m),Max(m),Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SF,SH,LSW,TxBat(V)
2019-02-05,15:20:31.200,213,4.93,6,-67,-98,30,12.30,15.0,453,410,26,129,-1,-575,-1024,12,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:32.200,184,4.94,5,-66,-98,31,12.30,14.5,450,410,23,129,17,-523,-1024,309,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:33.200,136,4.92,4,-65,-98,33,12.22,15.0,448,404,21,129,-6,-876,-1024,90,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:34.220,229,4.95,5,-66,-98,31,12.30,15.0,447,410,20,129,24,-584,-1024,5,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:35.220,141,4.95,5,-66,-98,31,12.30,15.0,446,410,19,129,-9,-857,-1024,40,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:36.220,228,4.93,5,-66,-98,31,12.28,15.0,444,408,17,129,-4,-582,-292,331,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:37.220,229,4.97,3,-63,-98,35,12.32,15.0,444,410,17,129,-9,-214,-848,42,-208,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:38.220,239,4.92,2,-61,-98,36,12.28,14.5,443,409,16,129,-10,-694,-1024,-145,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:39.220,213,4.95,2,-60,-98,37,12.24,14.5,442,408,15,129,-9,-477,-846,-176,-208,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:40.220,178,4.96,3,-62,-98,35,12.19,15.0,440,405,13,129,-10,-446,-863,7,-208,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:41.220,207,4.95,5,-66,-98,31,12.28,14.5,439,409,12,129,-7,-483,-802,527,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:42.220,244,4.97,5,-67,-98,31,12.32,14.5,438,409,11,129,-4,-651,-708,14,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:43.220,239,4.90,3,-62,-98,35,11.90,14.5,437,396,10,129,-4,-291,-470,-106,-208,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:44.220,245,4.93,2,-60,-98,38,11.89,14.5,436,395,9,129,-4,-535,-298,268,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:45.220,244,4.93,2,-60,-98,38,12.19,14.5,437,406,10,129,-6,-1024,-540,-11,-208,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:46.220,244,4.94,2,-60,-98,38,12.26,14.5,436,408,9,129,-137,-1024,-1024,-271,-208,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:20:47.220,244,4.95,2,-60,-98,38,12.27,14.5,436,409,9,129,-16,-149,-1024,5,-207,1024,-1,-1,-1,-1,-1,1,0x0000000000000000,7.7
